event,variant,n_stints,rate_mae,rate_bias,rate_cov90,rate_cov95,rate_width90,rate_width95,spearman,mae_lap,lap_cov90
barcelona-2026,sealed_driver_hist,31,0.04325310619091029,-0.0073550256461284635,0.9354838709677419,0.9354838709677419,0.22171358102527025,0.26579852922152264,0.18354176563909516,0.380902720205858,0.943579766536965
barcelona-2026,sealed_driver_practice_dev,31,0.04073762539273189,0.0009506115021115682,0.9354838709677419,0.9354838709677419,0.2130612854952731,0.2554204367788468,0.014526383123372382,0.380902720205858,0.943579766536965
barcelona-2026,sealed_driver_team_pooled,31,0.04079997569862561,0.0006740928721417484,0.9354838709677419,0.9354838709677419,0.21332685598125273,0.2557406413162771,-0.004439961897217759,0.380902720205858,0.943579766536965
barcelona-2026,history_only,31,0.05044673484938508,0.03779623564518093,0.5806451612903226,0.6451612903225806,0.0993980857083597,0.11843176169506685,0.09668979731866464,0.4008752847981801,0.8910505836575876
barcelona-2026,mixedlm_x_regime,31,0.0822101127331587,-0.07406607585939119,0.3548387096774194,0.3870967741935484,0.09939808570835969,0.11843176169506685,-0.20707497812418726,0.5456063792838226,0.7801556420233463
barcelona-2026,season_loo,31,0.08700547867885167,0.08570187047958551,0.1935483870967742,0.25806451612903225,0.09939808570835969,0.11843176169506683,0.3579519456476238,0.520530524630786,0.8035019455252919
barcelona-2026,zero,31,0.11869086431624022,0.11869086431624022,0.06451612903225806,0.12903225806451613,0.09939808570835967,0.11843176169506683,,0.6353395440098834,0.7237354085603113
barcelona-2026,oracle_race,31,0.04032492840535731,-0.002705568096799587,0.6774193548387096,0.7741935483870968,0.0993980857083597,0.11843176169506685,0.2810982943205441,0.3826518574500057,0.9027237354085603
austria-2026,sealed,40,0.031507636159134364,-0.01323720433521226,0.95,1.0,0.1764802604987322,0.2107468964467416,0.06034618098466586,0.35454561202180496,0.9475465313028765
austria-2026,sealed_v3,40,0.031507636159134364,-0.01323720433521226,0.95,1.0,0.1764802604987322,0.2107468964467416,0.06034618098466586,0.35454561202180496,0.9475465313028765
austria-2026,practice_only,40,0.03296544859825682,-0.016526284724464966,0.925,1.0,0.18569213882800514,0.22167120195326334,0.06295135292530188,0.35837280967344987,0.9475465313028765
austria-2026,practice_no_regime,40,0.06404431662538362,-0.061416574924069114,0.775,0.875,0.19386600066150356,0.23046959708949294,0.07372611524884798,0.4689839340897268,0.9069373942470389
austria-2026,sealed_geomean,40,0.030780531078361695,-0.010645134966600142,0.975,1.0,0.17435760124141111,0.20820357589135402,0.014132217462219814,0.35169649801148095,0.9475465313028765
austria-2026,regime_v2_temperature,40,0.03292387993790919,-0.016983581964436625,0.975,1.0,0.19905435150067147,0.2380034157503877,0.04425824337334541,0.3593628633643465,0.9526226734348562
austria-2026,regime_v3_pooled,40,0.03401103702370921,-0.01945954658380934,0.975,1.0,0.20171807781069023,0.24130172789847895,0.018662502160518468,0.36282514422625983,0.9509306260575296
austria-2026,regime_v3_circuit,40,0.03150763613199841,-0.013237204269225158,0.95,1.0,0.17648026049873236,0.21074689644674177,0.05135104944363483,0.35454561202180496,0.9475465313028765
austria-2026,regime_oracle_temperature,40,0.031647688154237366,-0.013620959064744198,0.925,1.0,0.17582343283446938,0.20990206110500162,0.08442846541597901,0.35499040641652646,0.9475465313028765
austria-2026,sealed_perfect_t,40,0.031647688154237366,-0.013620959064744198,0.925,1.0,0.17582343283446938,0.20990206110500162,0.08442846541597901,0.35499040641652646,0.9475465313028765
