event,variant,n_stints,rate_mae,rate_bias,rate_cov90,rate_width90,spearman,mae_lap,lap_cov90
austria-2026,history_only,35,0.02854360756149628,0.003902652471332243,0.9714285714285714,0.1746454109827528,-0.05613543659931965,0.33541539149105964,0.9795158286778398
austria-2026,mixedlm_x_regime,40,0.0327737826633869,-0.0006222654700049444,0.9,0.18558856971741533,0.1297530711571312,0.352808587574515,0.9746192893401016
austria-2026,season_loo,40,0.043465072922380284,0.030776251735101335,0.9,0.1855885697174153,-0.03341578912159811,0.38383565664340585,0.9712351945854484
austria-2026,zero,40,0.07443690723832506,0.07305355563430492,0.6,0.18558856971741533,,0.5016034151596898,0.9627749576988156
austria-2026,oracle_race,40,0.030300683102312664,0.0008224511836743751,0.975,0.18558856971741533,0.014093243330142181,0.35029509607573145,0.9780033840947546
belgium-2026,sealed,19,0.03028211424909071,-0.008967774725044978,1.0,0.19110371469008056,-0.5325140034074743,0.2873843633159228,0.9763313609467456
belgium-2026,practice_only,19,0.03786126897626417,-0.019288867923033453,1.0,0.20801699866180168,-0.5395438912412364,0.3084782194795207,0.9822485207100592
belgium-2026,practice_no_regime,19,0.08021263102231385,-0.07607407438536767,0.6842105263157895,0.19289023328215363,-0.5395438912412364,0.4819855686828823,0.9289940828402367
belgium-2026,history_only,19,0.027853226713904656,0.01118127801115885,0.8421052631578947,0.10138423351030441,0.34230900488561294,0.2780408351967663,0.9585798816568047
belgium-2026,mixedlm_x_regime,19,0.04168130304693624,-0.030919209609018516,0.7368421052631579,0.10138423351030441,-0.5480166523371202,0.32411222147652735,0.9615384615384616
belgium-2026,season_loo,19,0.04160279272841887,0.030903000781971997,0.631578947368421,0.10138423351030441,-0.27263314840900404,0.3052344476101753,0.9378698224852071
belgium-2026,zero,19,0.07084107307829227,0.07084107307829227,0.21052631578947367,0.10138423351030441,,0.42882301816495044,0.8698224852071006
belgium-2026,oracle_race,19,0.04843918468316152,0.024910470643025644,0.5789473684210527,0.10138423351030441,-0.4053228077905975,0.31363327341362496,0.9437869822485208
hungary-2026,sealed,43,0.04626701956464353,0.016591645531223453,0.9534883720930233,0.23980031128908322,-0.25445484747810326,0.41589485078782107,0.9651515151515152
hungary-2026,practice_only,43,0.04862216042855328,0.03161976404818789,0.9069767441860465,0.22759919171581808,-0.25445484747810326,0.4145248687311545,0.9621212121212122
hungary-2026,practice_no_regime,43,0.04490028140521197,-0.004611146571866909,0.9302325581395349,0.22748073170225155,-0.25445484747810326,0.4306736946236609,0.9590909090909091
hungary-2026,history_only,43,0.04505985744063554,0.007597057326568887,0.7674418604651163,0.1505639387232082,-0.1811869503697337,0.4272877868134535,0.9378787878787879
hungary-2026,mixedlm_x_regime,43,0.04785636467115805,0.020111084666786863,0.813953488372093,0.1505639387232082,-0.10560335353725336,0.40775676300678665,0.9454545454545454
hungary-2026,season_loo,43,0.05250034405723415,0.03486824049656754,0.7906976744186046,0.1505639387232082,-0.17019922475074928,0.4310640740220951,0.9424242424242424
hungary-2026,zero,43,0.0827341309614186,0.07951409790608775,0.3953488372093023,0.1505639387232082,,0.5156494742712049,0.9181818181818182
hungary-2026,oracle_race,43,0.04185511734200952,0.00969230881297118,0.813953488372093,0.1505639387232082,0.15053847464756206,0.4130193299104001,0.946969696969697
italy-2026,sealed,21,0.15439528383905257,-0.1528100427830909,0.8571428571428571,0.58126479541004,0.01948051948051948,1.751305101678223,0.7908045977011494
italy-2026,practice_only,21,0.0287951679028726,0.012010273306313404,0.9523809523809523,0.13569369903995604,0.06103896103896104,0.2716795999846824,0.9839080459770115
italy-2026,practice_no_regime,21,0.02776458187159846,0.003221742940095402,1.0,0.14968562265594487,0.06103896103896104,0.2815369452459209,0.9816091954022989
italy-2026,history_only,19,0.04282607893837755,-0.039147908011189995,0.5789473684210527,0.09463722678553232,-0.0800354588949703,0.4521060480357233,0.9565217391304348
italy-2026,mixedlm_x_regime,21,0.029802251699112558,0.011663513894466451,0.7619047619047619,0.10155907797862804,0.2769833291199844,0.28924655269536376,0.9816091954022989
italy-2026,season_loo,21,0.03784289262687536,-0.027768685961605515,0.5714285714285714,0.10155907797862804,-0.10807328312671698,0.39158028135536943,0.9632183908045977
italy-2026,zero,21,0.03464809603818807,0.027236820686250156,0.6190476190476191,0.10155907797862804,,0.33002249473296597,0.9816091954022989
italy-2026,oracle_race,21,0.03237687288575859,0.013348213193692364,0.6666666666666666,0.10155907797862804,-0.06043092152599524,0.3093399196362065,0.9816091954022989
